"","ids","X.1","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest","fastest_time_in_s","fastest_distance_in_m","quietest_time_in_s","quietest_distance_in_m"
"2",1,2,910558,"E02002330","E02002331",742,0,0,1,5,1,1,426,51,38,218,1,3549.2208781699,0.1475162441,109.4570531019,71.4570531019,-1.400577159,53.9291452967,-1.347653388,53.9226868903,883,4202,938,4553
"5",4,5,910561,"E02002330","E02002334",50,0,0,0,3,1,0,43,0,1,2,0,5900.5717908591,0.0921730802,4.6086540116,3.6086540116,-1.400577159,53.9291452967,-1.3576524285,53.8825638629,1776,7142,2050,8264
"6",5,6,910562,"E02002330","E02002335",23,0,0,0,0,0,0,20,1,0,2,0,6232.9027146385,0.0862458494,1.9836545359,1.9836545359,-1.400577159,53.9291452967,-1.4710718403,53.8916514302,1887,7395,1887,7395
"96",95,96,910909,"E02002331","E02002330",36,0,0,0,1,0,0,14,2,0,19,0,3549.2208781699,0.1475162441,5.3105847866,5.3105847866,-1.347653388,53.9226868903,-1.400577159,53.9291452967,907,4202,962,4553
"99",98,99,910912,"E02002331","E02002334",92,0,0,0,8,0,0,61,3,1,19,0,4512.5545051695,0.1216650252,11.1931823218,10.1931823218,-1.347653388,53.9226868903,-1.3576524285,53.8825638629,1298,5548,1298,5548
"177",176,177,911224,"E02002332","E02002333",509,0,0,1,24,4,5,237,41,8,188,1,1646.0840105227,0.2158461041,109.8656669673,101.8656669673,-1.7052666419,53.9113271892,-1.6876952052,53.9007791557,624,1994,625,2051
"180",179,180,911227,"E02002332","E02002336",118,0,0,0,10,1,1,83,12,2,9,0,6021.7600033697,0.0899658788,10.6159736982,8.6159736982,-1.7052666419,53.9113271892,-1.6243652108,53.8858954673,2303,7094,2623,7163
"181",180,181,911228,"E02002332","E02002337",25,0,0,0,5,0,0,17,2,1,0,0,4251.6498859021,0.1281821754,3.2045543853,2.2045543853,-1.7052666419,53.9113271892,-1.7433977723,53.8804538587,2194,6256,2354,6122
"182",181,182,911229,"E02002332","E02002338",37,0,0,0,0,0,0,34,3,0,0,0,4532.0084934568,0.121192571,4.4841251252,4.4841251252,-1.7052666419,53.9113271892,-1.7105896018,53.87071637,2001,6573,2034,6593
"183",182,183,911230,"E02002332","E02002339",29,0,0,0,5,0,0,21,2,1,0,0,4865.7617304928,0.1133669756,3.2876422928,2.2876422928,-1.7052666419,53.9113271892,-1.6941821605,53.8680881823,2401,7694,2589,7523
"184",183,184,911231,"E02002332","E02002340",13,0,0,0,1,0,0,10,1,0,1,0,5066.2207796583,0.1089117933,1.4158533127,1.4158533127,-1.7052666419,53.9113271892,-1.6785346758,53.8686194272,2446,7007,2872,8301
"186",185,186,911233,"E02002332","E02002342",2,0,0,0,1,0,0,1,0,0,0,0,7664.5982667333,0.0647713141,0.1295426281,0.1295426281,-1.7052666419,53.9113271892,-1.6224194963,53.8628501517,2841,8930,3128,9814
"187",186,187,911234,"E02002332","E02002343",10,0,0,0,1,0,0,8,1,0,0,0,6403.597421025,0.0833511987,0.8335119869,0.8335119869,-1.7052666419,53.9113271892,-1.6775621599,53.8561494482,2836,8587,3270,10196
"262",261,262,911513,"E02002333","E02002332",83,0,0,0,3,0,0,39,12,0,29,0,1646.0840105227,0.2158461041,17.9152266371,17.9152266371,-1.6876952052,53.9007791557,-1.7052666419,53.9113271892,493,1994,496,2014
"266",265,266,911517,"E02002333","E02002336",123,0,0,1,10,2,0,93,9,4,4,0,4478.9199364232,0.1224862143,15.0658043596,11.0658043596,-1.6876952052,53.9007791557,-1.6243652108,53.8858954673,1769,4999,1999,5112
"267",266,267,911518,"E02002333","E02002337",34,0,0,0,4,0,0,25,2,2,1,0,4303.0063477386,0.1268723173,4.3136587881,2.3136587881,-1.6876952052,53.9007791557,-1.7433977723,53.8804538587,1936,4912,1936,4912
"268",267,268,911519,"E02002333","E02002338",62,0,0,0,15,2,0,37,4,2,2,0,3667.9418765793,0.1440548456,8.9314004277,6.9314004277,-1.6876952052,53.9007791557,-1.7105896018,53.87071637,1616,5383,1616,5383
"269",268,269,911520,"E02002333","E02002339",40,0,0,0,6,0,0,31,3,0,0,0,3662.37157057,0.144215421,5.768616838,5.768616838,-1.6876952052,53.9007791557,-1.6941821605,53.8680881823,2016,6504,2171,6313
"270",269,270,911521,"E02002333","E02002340",23,0,0,0,1,0,0,21,1,0,0,0,3628.6879065075,0.1451902416,3.3393755562,3.3393755562,-1.6876952052,53.9007791557,-1.6785346758,53.8686194272,1823,5013,2304,5805
"272",271,272,911523,"E02002333","E02002342",6,0,0,0,0,0,0,6,0,0,0,0,6018.7029855923,0.0900209011,0.5401254065,0.5401254065,-1.6876952052,53.9007791557,-1.6224194963,53.8628501517,2218,6936,2504,7763
"273",272,273,911524,"E02002333","E02002343",26,0,0,0,4,0,2,17,1,2,0,0,5010.2226542898,0.1101384206,2.8635989356,0.8635989356,-1.6876952052,53.9007791557,-1.6775621599,53.8561494482,2213,6593,2852,8986
"276",275,276,911527,"E02002333","E02002346",8,0,0,0,1,0,0,6,0,1,0,0,7241.8377433222,0.0704860576,0.563888461,-0.436111539,-1.6876952052,53.9007791557,-1.6186437517,53.8500711391,2719,8480,3005,9307
"280",279,280,911531,"E02002333","E02002350",25,0,0,0,2,0,0,19,2,1,1,0,6571.554261499,0.0805978216,2.014945541,1.014945541,-1.6876952052,53.9007791557,-1.645681837,53.8471890098,2642,8716,3151,8814
"285",284,285,911536,"E02002333","E02002356",38,0,0,0,0,0,0,35,2,1,0,0,6904.8510419845,0.0754003763,2.865214301,1.865214301,-1.6876952052,53.9007791557,-1.6698365717,53.8396256342,2562,9271,3088,10879
"359",358,359,911831,"E02002334","E02002330",6,0,0,0,4,0,0,2,0,0,0,0,5900.5717908591,0.0921730802,0.5530384814,0.5530384814,-1.3576524285,53.8825638629,-1.400577159,53.9291452967,1716,7625,2180,9479
"360",359,360,911832,"E02002334","E02002331",491,0,0,0,29,1,2,375,48,20,15,1,4512.5545051695,0.1216650252,59.7375273915,39.7375273915,-1.3576524285,53.8825638629,-1.347653388,53.9226868903,1251,5548,1251,5548
"364",363,364,911836,"E02002334","E02002335",31,0,0,0,1,0,0,26,2,0,2,0,7523.9224439904,0.0666195439,2.0652058597,2.0652058597,-1.3576524285,53.8825638629,-1.4710718403,53.8916514302,2430,9696,2644,9285
"379",378,379,911851,"E02002334","E02002351",10,0,0,0,1,0,0,9,0,0,0,0,6895.1681424525,0.0755465367,0.7554653667,0.7554653667,-1.3576524285,53.8825638629,-1.4409663716,53.8449366971,2150,8041,2150,8041
"386",385,386,911858,"E02002334","E02002359",18,0,0,0,1,0,0,16,1,0,0,0,5814.2018967995,0.0937791074,1.6880239327,1.6880239327,-1.3576524285,53.8825638629,-1.3697425356,53.8308039574,2147,8549,2163,8608
"457",456,457,912240,"E02002335","E02002330",15,0,0,0,3,0,0,10,1,0,1,0,6232.9027146385,0.0862458494,1.2936877408,1.2936877408,-1.4710718403,53.8916514302,-1.400577159,53.9291452967,1710,7395,1710,7395
"461",460,461,912244,"E02002335","E02002334",44,0,0,0,1,0,0,39,3,0,1,0,7523.9224439904,0.0666195439,2.9312599299,2.9312599299,-1.4710718403,53.8916514302,-1.3576524285,53.8825638629,2265,9696,2483,9285
"468",467,468,912251,"E02002335","E02002341",17,0,0,0,0,0,0,15,1,1,0,0,6053.4697231202,0.0893971256,1.519751136,0.519751136,-1.4710718403,53.8916514302,-1.5553319814,53.869697221,3014,10973,3260,11481
"471",470,471,912254,"E02002335","E02002344",15,0,0,0,0,0,0,15,0,0,0,0,5490.838825134,0.1000444622,1.5006669337,1.5006669337,-1.4710718403,53.8916514302,-1.5253058419,53.8541243112,2479,9062,2759,9434
"474",473,474,912257,"E02002335","E02002347",9,0,0,0,0,0,0,9,0,0,0,0,7110.2173225089,0.0723661762,0.6512955855,0.6512955855,-1.4710718403,53.8916514302,-1.5519706135,53.8492478781,2943,11144,3508,12452
"476",475,476,912259,"E02002335","E02002349",17,0,0,0,0,0,0,16,0,0,0,1,5652.3919215054,0.0968636278,1.6466816726,1.6466816726,-1.4710718403,53.8916514302,-1.4977270094,53.8433559571,2454,8822,2723,9132
