,Area.of.residence,Area.of.workplace,All.categories..Method.of.travel.to.work,Work.mainly.at.or.from.home,Underground..metro..light.rail..tram,Train,Bus..minibus.or.coach,Taxi,Motorcycle..scooter.or.moped,Driving.a.car.or.van,Passenger.in.a.car.or.van,Bicycle,On.foot,Other.method.of.travel.to.work,dist,p_cycle,pc,ecp,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time,fastest_distance,quietest_time,quietest_distance
910557,E02002330,E02002330,66,0,0,0,0,0,1,29,4,1,31,0,0,0.3,19.8,18.8,-1.400577159,53.9291452967,-1.400577159,53.9291452967,,,,
910558,E02002330,E02002331,742,0,0,1,5,1,1,426,51,38,218,1,3549.2208781699,0.1475162441,109.4570531019,71.4570531019,-1.400577159,53.9291452967,-1.347653388,53.9226868903,,,,
910559,E02002330,E02002332,2,0,0,0,0,0,0,2,0,0,0,0,20109.0471207848,0.0053761529,0.0107523059,0.0107523059,-1.400577159,53.9291452967,-1.7052666419,53.9113271892,,,,
910560,E02002330,E02002333,9,0,0,0,0,0,0,6,0,2,1,0,19121.6850015789,0.0065498718,0.058948846,-1.941051154,-1.400577159,53.9291452967,-1.6876952052,53.9007791557,,,,
910561,E02002330,E02002334,50,0,0,0,3,1,0,43,0,1,2,0,5900.5717908591,0.0921730802,4.6086540116,3.6086540116,-1.400577159,53.9291452967,-1.3576524285,53.8825638629,,,,
910562,E02002330,E02002335,23,0,0,0,0,0,0,20,1,0,2,0,6232.9027146385,0.0862458494,1.9836545359,1.9836545359,-1.400577159,53.9291452967,-1.4710718403,53.8916514302,,,,
910563,E02002330,E02002336,4,0,0,0,0,0,0,4,0,0,0,0,15470.1292984517,0.0135957414,0.0543829658,0.0543829658,-1.400577159,53.9291452967,-1.6243652108,53.8858954673,,,,
910564,E02002330,E02002337,2,0,0,0,0,0,0,2,0,0,0,0,23165.9886840322,0.0029170847,0.0058341695,0.0058341695,-1.400577159,53.9291452967,-1.7433977723,53.8804538587,,,,
910565,E02002330,E02002338,1,0,0,0,0,0,0,1,0,0,0,0,21382.710025664,0.0041671838,0.0041671838,0.0041671838,-1.400577159,53.9291452967,-1.7105896018,53.87071637,,,,
910566,E02002330,E02002339,3,0,0,0,0,0,0,3,0,0,0,0,20454.1062132781,0.0050176477,0.015052943,0.015052943,-1.400577159,53.9291452967,-1.6941821605,53.8680881823,,,,
