id,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time_in_s,fastest_distance_in_m,quietest_time_in_s,quietest_distance_in_m
0,-1.400577159,53.9291452967,-1.400577159,53.9291452967,0,0,0,0
1,-1.400577159,53.9291452967,-1.347653388,53.9226868903,883,4202,938,4553
2,-1.400577159,53.9291452967,-1.7052666419,53.9113271892,5394,24009,8317,28151
3,-1.400577159,53.9291452967,-1.6876952052,53.9007791557,5285,23249,8616,28607
4,-1.400577159,53.9291452967,-1.3576524285,53.8825638629,1776,7142,2050,8264
5,-1.400577159,53.9291452967,-1.4710718403,53.8916514302,1887,7395,1887,7395
6,-1.400577159,53.9291452967,-1.6243652108,53.8858954673,5027,19382,6369,23979
7,-1.400577159,53.9291452967,-1.7433977723,53.8804538587,7102,27719,8853,32976
8,-1.400577159,53.9291452967,-1.7105896018,53.87071637,6716,26717,8118,31621
9,-1.400577159,53.9291452967,-1.6941821605,53.8680881823,6501,25558,7652,28959
10,-1.400577159,53.9291452967,-1.6785346758,53.8686194272,6387,24852,7555,27705
11,-1.400577159,53.9291452967,-1.5553319814,53.869697221,4173,15687,4542,17139
12,-1.400577159,53.9291452967,-1.6775621599,53.8561494482,6435,24912,7593,27182
13,-1.400577159,53.9291452967,-1.5253058419,53.8541243112,3661,13578,4041,15092
14,-1.400577159,53.9291452967,-1.5896573219,53.8575607216,4635,17978,5004,19430
15,-1.400577159,53.9291452967,-1.6186437517,53.8500711391,5437,20452,5806,21904
16,-1.400577159,53.9291452967,-1.5519706135,53.8492478781,4125,15660,4790,18110
17,-1.400577159,53.9291452967,-1.604851375,53.8460916699,5246,20111,5643,21702
18,-1.400577159,53.9291452967,-1.4977270094,53.8433559571,3636,13338,4005,14790
19,-1.400577159,53.9291452967,-1.645681837,53.8471890098,6358,22848,6707,23966
20,-1.400577159,53.9291452967,-1.4409663716,53.8449366971,3097,11728,3091,11767
21,-1.400577159,53.9291452967,-1.5316182735,53.8418058636,3866,14676,4375,16831
22,-1.400577159,53.9291452967,-1.5182369926,53.84054915,3945,15252,4299,16018
23,-1.400577159,53.9291452967,-1.5485327985,53.8394232219,4096,15814,4617,18013
24,-1.400577159,53.9291452967,-1.6698365717,53.8396256342,6249,24278,7223,26716
25,-1.400577159,53.9291452967,-1.6291347025,53.835990229,5475,21024,6310,24072
26,-1.400577159,53.9291452967,-1.4598015075,53.8357920354,3242,12313,3689,14498
27,-1.400577159,53.9291452967,-1.3697425356,53.8308039574,3740,15394,5422,16325
28,-1.400577159,53.9291452967,-1.5647986011,53.834548605,4330,17005,5130,20050
29,-1.400577159,53.9291452967,-1.5143714712,53.8291749544,4136,15657,4542,17312
30,-1.400577159,53.9291452967,-1.6131811509,53.8306166402,5256,20758,5971,23959
31,-1.400577159,53.9291452967,-1.5348689623,53.828844426,4228,16413,4737,18568
32,-1.400577159,53.9291452967,-1.4664255759,53.8267392129,3524,13826,4037,16371
33,-1.400577159,53.9291452967,-1.4940384943,53.827020389,3791,14527,4372,17826
34,-1.400577159,53.9291452967,-1.5512470911,53.822437902,4483,17677,5036,19716
35,-1.400577159,53.9291452967,-1.530848943,53.8193025853,4483,17467,4959,19162
36,-1.400577159,53.9291452967,-1.5813803838,53.8184752721,4958,19482,5493,21482
37,-1.400577159,53.9291452967,-1.5978264373,53.8174200785,5126,20444,5942,24128
38,-1.400577159,53.9291452967,-1.6270046147,53.8205240553,5950,22339,6945,26934
39,-1.400577159,53.9291452967,-1.5006442299,53.815492733,3948,15604,4667,18927
40,-1.400577159,53.9291452967,-1.5194226834,53.8153651938,4155,16500,4694,18535
41,-1.400577159,53.9291452967,-1.4640100536,53.814328863,3838,15458,4327,17646
42,-1.400577159,53.9291452967,-1.6413464562,53.8153341658,6366,23974,7431,27480
43,-1.400577159,53.9291452967,-1.6550978034,53.8176424986,6412,24534,7477,29489
44,-1.400577159,53.9291452967,-1.5121470392,53.8110109367,4262,16690,5009,20500
45,-1.400577159,53.9291452967,-1.5711081108,53.8110117037,5098,20108,5615,22152
46,-1.400577159,53.9291452967,-1.5450850219,53.8096337814,4835,19050,5415,21301
47,-1.400577159,53.9291452967,-1.5824764839,53.8079116016,5187,20812,5704,22815
48,-1.400577159,53.9291452967,-1.4237982697,53.8075625094,4172,17061,6108,19784
49,-1.400577159,53.9291452967,-1.6352400439,53.808721822,6443,23264,7258,27319
50,-1.400577159,53.9291452967,-1.6102509195,53.8088425684,5766,21909,6589,25940
51,-1.400577159,53.9291452967,-1.4912905295,53.8084967192,3929,15946,4588,19256
52,-1.400577159,53.9291452967,-1.4693922426,53.8062954254,4062,16405,4554,18789
53,-1.400577159,53.9291452967,-1.6682097793,53.8056954082,6908,26080,8030,31203
54,-1.400577159,53.9291452967,-1.5609149148,53.8046175701,5202,20091,5870,22585
55,-1.400577159,53.9291452967,-1.523831007,53.804524144,4388,17803,5136,21439
56,-1.400577159,53.9291452967,-1.5096383515,53.8031039327,4386,17444,5140,21137
57,-1.400577159,53.9291452967,-1.6932426898,53.8043391989,7432,27336,9031,34621
58,-1.400577159,53.9291452967,-1.611086847,53.8011739849,6234,22835,7057,26866
59,-1.400577159,53.9291452967,-1.646020275,53.7991338977,7064,26390,7827,28960
60,-1.400577159,53.9291452967,-1.460795059,53.7829085208,4525,18538,7964,25242
61,-1.400577159,53.9291452967,-1.5026560497,53.78732075,4628,19018,5742,22437
62,-1.400577159,53.9291452967,-1.5794874121,53.7971878792,5688,22010,6419,24481
63,-1.400577159,53.9291452967,-1.4368532119,53.7923560633,4366,17765,7549,23104
64,-1.400577159,53.9291452967,-1.3874627589,53.795090583,4555,19191,5987,19126
65,-1.400577159,53.9291452967,-1.5185093357,53.7923791487,4696,19145,5492,22411
66,-1.400577159,53.9291452967,-1.68442047,53.7897676905,8436,28691,9578,33648
67,-1.400577159,53.9291452967,-1.3695940677,53.7871307636,4694,19654,6453,20965
68,-1.400577159,53.9291452967,-1.6531563541,53.7886108817,7435,27729,8185,30376
69,-1.400577159,53.9291452967,-1.6306694818,53.782634954,7061,26395,7933,29380
70,-1.400577159,53.9291452967,-1.5612145536,53.7847868814,5386,21586,6170,23943
71,-1.400577159,53.9291452967,-1.6064431662,53.7762799407,6801,25656,7677,27889
72,-1.400577159,53.9291452967,-1.5451628768,53.781746077,5164,20949,6213,25923
73,-1.400577159,53.9291452967,-1.5495116861,53.7742881837,5490,21847,6503,26701
74,-1.400577159,53.9291452967,-1.4119631696,53.7684705358,5237,21867,7526,25808
75,-1.400577159,53.9291452967,-1.3368001311,53.7642201515,5378,21997,6844,24290
76,-1.400577159,53.9291452967,-1.3777795008,53.7683968144,5486,23286,7325,23469
77,-1.400577159,53.9291452967,-1.5759700333,53.7720065627,5918,23498,6755,25812
78,-1.400577159,53.9291452967,-1.5544406537,53.7662624593,5703,22681,6956,28277
79,-1.400577159,53.9291452967,-1.5311318696,53.766273027,5749,22671,6781,27702
80,-1.400577159,53.9291452967,-1.5870012411,53.7585630809,6747,25789,7614,27982
81,-1.400577159,53.9291452967,-1.6160378671,53.7575906876,7055,26700,8870,31349
82,-1.400577159,53.9291452967,-1.6522103299,53.7560427315,7988,29751,9725,33900
83,-1.400577159,53.9291452967,-1.4497412823,53.7516900235,5372,23095,8283,27782
84,-1.400577159,53.9291452967,-1.4787898939,53.7512783244,6036,25489,8868,29872
85,-1.400577159,53.9291452967,-1.5367152244,53.7528293516,6320,24812,7216,29100
86,-1.400577159,53.9291452967,-1.5552160268,53.7479997938,6717,25156,7694,29995
87,-1.400577159,53.9291452967,-1.582351837,53.7438491095,6911,26643,8758,32619
88,-1.400577159,53.9291452967,-1.5993137073,53.7414729237,7434,27790,9294,33835
